FIPS,beta,gamma,SUSCEPTIBLE,INFECTED,RECOVERED,US
47045,1.922241487353573e-05,2.4841274605800018e-05,0.998896633386259,0.0002691138082295003,0.0008342528055114508,1
47047,4.5149706005952814e-05,3.553201715261375e-05,0.998128023727907,0.0006077845039262878,0.0012641917681666787,1
47049,3.720136808608143e-05,2.445926828813542e-05,0.9996760783890298,0.00010797387032338174,0.00021594774064676348,1
47051,1.8615292970865372e-05,1.2757333644369279e-05,0.9990523123578469,0.00026061410159211525,0.0006870735405610311,1
47053,2.6168039519554798e-05,2.3484138030369684e-05,0.998921295259805,0.00030529379439480595,0.000773410945800175,1
47055,9.697063729102828e-06,5.221495854132292e-06,0.9996945424925333,0.00013575889220743959,0.00016969861525929948,1
47057,6.1259495221759355e-06,2.1994970972499743e-05,0.9997427101200687,8.576329331046312e-05,0.00017152658662092623,1
47059,3.102487574537264e-06,1.670570232443142e-05,0.999362955884695,4.3434826043521695e-05,0.0005936092892614631,1
47061,4.258567798373671e-05,2.8644923260250585e-05,0.9977656959857004,0.00014895360095330305,0.002085350413346243,1
47063,7.700126282071027e-06,1.0661713313636807e-05,0.999676594696153,9.240151538485231e-05,0.0002310037884621308,1
47065,1.7866658794979315e-05,6.901669200067261e-06,0.999369229263412,0.00024741438374786573,0.0003833563528400996,1
47067,2.0055430420187356e-05,1.4620607576838093e-05,1.0,0.0,0.0,1
47069,0.0002994011976047904,1.2283126055581145e-05,0.995369261477046,0.004191616766467066,0.00043912175648702596,1
47071,3.258939772292588e-05,2.318079825220413e-05,0.9997271167940122,7.79666302822392e-05,0.000194916575705598,1
47073,2.7171987559506324e-05,8.127680441278863e-06,0.9994540907970274,3.521994857887507e-05,0.0005106892543936886,1
47075,3.715078264315435e-05,1.778157117962943e-05,0.9984974572353214,0.0004623208506703652,0.0010402219140083217,1
47077,1.2702025719061676e-05,2.4255454224436232e-05,0.9996443432798663,0.00014226268805349077,0.00021339403208023617,1
47079,8.833337013890424e-06,1.1891030595621724e-05,0.9995362498067708,0.00012366671819446593,0.0003400834750347813,1
47081,2.5532494354481808e-05,0.00011609647005627623,0.9980538565414251,0.0003177377075224402,0.001628405751052506,1
47083,5.044147439179114e-05,4.054205076912616e-05,0.9992683819046457,0.00024387269845140838,0.00048774539690281675,1
47085,3.716826782031715e-05,2.0698277075416244e-05,0.9994080292756431,0.00010763104079216446,0.00048433968356474005,1
47087,3.3891341509653996e-05,1.3053296610058872e-05,0.9993212285762769,8.484642796538266e-05,0.0005939249957576786,1
47089,1.1796626164916835e-05,2.8231242104074475e-06,0.9995228920084411,0.00014680245894118727,0.00033030553261767135,1
47091,1.2046644607921871e-05,1.838190347965044e-05,0.9997189116258152,0.00016865302451090622,0.00011243534967393749,1
47093,7.897476179237475e-06,6.705845158109926e-06,0.9994429241802799,0.00011056466650932464,0.0004465111532107341,1
47095,0.00011198892327740674,0.0005262696254714499,0.9915906499429875,0.0015678449258836945,0.0068415051311288486,1
47097,2.786586487284806e-05,2.4007514351992173e-05,0.9989856825186283,0.00031209768657589824,0.0007022197947957711,1
47099,6.472617591280089e-06,6.970511252147789e-06,0.9995469167686104,9.061664627792125e-05,0.000362466585111685,1
47101,2.0055430420187356e-05,2.1457642986383695e-05,0.9998369742419302,0.0,0.00016302575806977502,1
47103,8.313865032715058e-06,8.953393112154678e-06,0.9995344235581679,0.00011639411045801082,0.00034918233137403245,1
47105,1.8495228231116374e-05,1.2804388775388257e-05,0.9992786860989865,0.00022194273877339647,0.0004993711622401421,1
47107,0.00014074856994141674,8.57973866116038e-06,0.9978436256831617,0.0018961222441164442,0.00026025207272186487,1
47109,2.0055430420187356e-05,3.7596011121110574e-05,0.9995718844866506,0.0,0.0004281155133494201,1
47111,6.09706527924559e-05,4.0647101861637274e-05,0.9976424680920251,0.0008129420372327453,0.001544589870742216,1
47113,3.717808155267333e-05,3.140230116062905e-05,0.9984691378184193,0.0005000816459830176,0.0010307805355976485,1
47115,2.7116820449899198e-05,7.983160852708021e-06,0.9989967827861763,3.459369702840143e-05,0.0009686235167952399,1
47117,4.155844155844156e-06,2.9090909090909093e-05,0.9993018181818182,5.818181818181818e-05,0.00064,1
47119,1.2598023740605207e-05,4.788389114076188e-06,0.9994293836305725,0.0001556226462074761,0.0004149937232199363,1
47121,9.775283483221012e-05,4.0375293807917725e-05,0.9982289486395105,0.0012880373530832394,0.0004830140074062148,1
47123,2.7623037613369555e-05,6.610641480122627e-06,0.9993554624556881,0.0003652379417767752,0.00027929960253518103,1
47125,1.2987447973308743e-05,1.361841710561524e-05,0.9991770059284282,0.00017225457311967387,0.0006507394984521012,1
47127,2.0055430420187356e-05,3.556862373138576e-05,0.9995376078914919,0.0,0.0004623921085080148,1
47129,4.680044515772097e-05,3.59403246848932e-06,0.9995327757790964,0.00018688968836144465,0.00028033453254216697,1
47131,9.501955027246858e-06,1.279109330590923e-05,0.9994678905184742,0.00013302737038145597,0.00039908211114436795,1
47133,1.2846287743999177e-05,3.0054890764240493e-05,0.999505417921856,0.00017984802841598848,0.00031473404972797987,1
47135,4.422274110238449e-05,4.762449041795253e-05,0.9983902922238732,0.0006191183754333828,0.0009905894006934125,1
47137,5.516377897416093e-05,4.8157285330977764e-05,0.9985049428509181,0.0003219474331188852,0.0006895557745586964,1
47139,2.5461705594785442e-05,3.7040154583749146e-05,0.999287072243346,0.0002970532319391635,0.0004158745247148289,1
47141,5.340786697880597e-05,1.8213452072259472e-05,0.9979313352856876,0.0007103246308181196,0.0013583400834942987,1
47143,6.460810874836865e-06,6.957796326747393e-06,0.9998190972955046,9.045135224771611e-05,9.045135224771611e-05,1
47145,1.338064730219389e-06,2.8819855727802227e-06,0.9998501367502154,1.8732906223071447e-05,0.00013113034356150013,1
47147,9.150750659948159e-05,4.605979847231431e-05,0.9969504128778912,0.0011557795942238871,0.0018938075278849234,1
47149,7.158226909344172e-05,3.333560972334917e-05,0.9978331853679823,0.0009479814015077419,0.001218833230509954,1
47151,2.0055430420187356e-05,1.0457188271217637e-05,0.9995015406924053,0.0,0.0004984593075947072,1
47153,9.507330151546842e-06,3.137041790266254e-05,0.999600692133635,6.65513110608279e-05,0.0003327565553041395,1
47155,1.6721192293711378e-05,1.644157369348209e-05,0.9993384223918576,0.0002035623409669211,0.0004580152671755725,1
47157,8.406804588057429e-05,7.14921369319843e-05,0.9965971876914015,0.0009528728101531639,0.0024499394984453127,1
47159,1.771805611662733e-05,3.434577031838529e-05,0.9988093466289626,0.00024805278563278264,0.0009426005854045741,1
47161,5.208062080099995e-06,1.1217364480215375e-05,0.9994896099161502,0.0,0.0005103900838497995,1
